step,node,prev,new,entropy,time
3,25,1,0,3.857979e-02,-2.849810e+42
3,26,5,6,1.934162e-01,-2.909516e+42
3,27,4,3,8.869885e-02,-3.239431e+42
3,28,3,3,2.206366e-01,-2.868773e+42
3,29,5,2,5.829512e-01,-3.258748e+42
3,30,4,2,5.829512e-01,-2.855483e+42
3,31,2,6,3.138574e-01,-2.986616e+42
3,32,6,1,2.862896e-01,-3.177229e+42
3,33,3,4,7.147469e-01,-3.214470e+42
3,34,5,0,4.922666e-01,-2.912365e+42
3,35,2,5,7.769589e-01,-2.832111e+42
3,36,3,8,1.582925e-01,-2.847933e+42
3,37,8,1,4.361714e-01,-2.752102e+42
3,38,5,0,4.922666e-01,-3.263712e+42
3,39,5,3,2.206366e-01,-3.010243e+42
3,40,8,1,4.361714e-01,-3.115164e+42
3,41,7,1,1.356317e-01,-3.166809e+42
3,42,8,7,8.097822e-01,-2.915963e+42
3,43,2,4,4.954242e-01,-2.877518e+42
3,44,1,3,8.869885e-02,-2.806394e+42
3,45,2,6,3.138574e-01,-2.771487e+42
3,46,1,0,3.857979e-02,-2.988470e+42
3,47,8,7,8.097822e-01,-3.268815e+42
3,48,0,3,2.577286e-01,-2.928355e+42
3,49,7,1,1.356317e-01,-3.053511e+42
4,0,2,0,9.685745e-01,-3.884954e+42
4,1,3,0,9.291751e-01,-3.951285e+42
4,2,1,0,9.685745e-01,-4.146601e+42
4,3,3,6,4.556924e-01,-3.816270e+42
4,4,4,3,9.563612e-01,-4.157695e+42
4,5,3,8,3.415314e-02,-3.645166e+42
4,6,4,0,9.685745e-01,-4.033369e+42
4,7,7,1,6.438310e-01,-4.006376e+42
4,8,7,7,3.296679e-02,-4.395821e+42
4,9,2,3,7.265901e-01,-3.610035e+42
4,10,2,6,4.122643e-01,-3.940592e+42
4,11,4,8,3.415314e-02,-3.916056e+42
4,12,4,8,3.415314e-02,-4.349022e+42
4,13,0,5,3.248976e-01,-3.683863e+42
4,14,6,0,2.250844e-04,-3.777304e+42
4,15,4,5,3.248976e-01,-3.778267e+42
4,16,8,0,2.250844e-04,-3.694472e+42
4,17,2,6,4.556924e-01,-3.856007e+42
4,18,3,6,3.484993e-01,-4.192045e+42
4,19,4,5,8.312825e-01,-4.161296e+42
4,20,0,8,3.415314e-02,-3.857775e+42
4,21,4,5,6.852702e-01,-4.321041e+42
4,22,2,5,8.553371e-01,-3.709321e+42
4,23,8,0,2.250844e-04,-4.020808e+42
4,24,6,5,8.312825e-01,-3.993296e+42
4,25,0,2,7.654842e-01,-3.799746e+42
4,26,6,8,1.036088e-01,-3.879355e+42
4,27,3,3,9.563612e-01,-4.319241e+42
4,28,3,5,6.852702e-01,-3.825031e+42
4,29,2,6,3.484993e-01,-4.344997e+42
4,30,2,6,5.301275e-01,-3.807310e+42
